start_station_name,trip_count,lat,lng
Wolcott (Ravenswood) Ave & Montrose Ave,83,41.961406,-87.676169
California Ave & North Ave,83,41.910044,-87.697167
Adler Planetarium,82,41.866095,-87.607267
Leavitt St & Division St,82,41.902997,-87.683825
Morgan Ave & 14th Pl,81,41.862378,-87.651062
Broadway & Granville Ave,81,41.9947796884,-87.6602845349
Damen Ave & Clybourn Ave,81,41.931931,-87.677856
Damen Ave & Lake St,81,41.8849659,-87.6768354
Shields Ave & 28th Pl,81,41.842733,-87.635491
Laflin St & Cullerton St,80,41.85491457576575,-87.66355991363525
Clark St & Columbia Ave,80,42.00445062934,-87.6724024047
Calumet Ave & 21st St,80,41.85418424947,-87.6191537415
Kedzie Ave & Palmer Ct,80,41.921525,-87.707322
Malcolm X College,79,41.877618,-87.673895
Calumet Ave & 35th St,78,41.831379,-87.618034
Leavitt St & Lawrence Ave,77,41.968885,-87.684001
Wood St & Hubbard St,75,41.889715,-87.671966
Damen Ave & Sunnyside Ave,75,41.96325,-87.679258
Milwaukee Ave & Rockwell St,75,41.920261145,-87.69262898
Western Ave & Division St,74,41.902893,-87.687275
Halsted St & 18th St,73,41.85750568031716,-87.64599144458771
Southport Ave & Clark St,71,41.957081,-87.664199
Talman Ave & Addison St,69,41.9466358306,-87.694614758
Lincoln Ave & Byron St,69,41.952372,-87.677296
Lincoln Ave & Addison St,68,41.946176,-87.673308
Humboldt Blvd & Armitage Ave,68,41.91751339399,-87.7018089555
Wentworth Ave & Cermak Rd,66,41.85308455741279,-87.63193130493164
May St & Cullerton St,66,41.855136,-87.654127
Halsted St & 21st St,66,41.85377981072743,-87.6466029882431
Indiana Ave & 26th St,66,41.845687,-87.622481
California Ave & Altgeld St,65,41.92669,-87.697668
Peterson/Ridge Metra,65,41.9918,-87.67489
Glenwood Ave & Touhy Ave,64,42.012701,-87.666058
N Carpenter St & W Lake St,64,41.885586,-87.6531893
Western Ave & Roscoe St,63,41.943034,-87.687288
Michigan Ave & Ida B Wells Dr,63,41.876203,-87.624464
Halsted St & Archer Ave,63,41.847203,-87.646795
California Ave & Division St,63,41.903029,-87.697474
Burnham Harbor,62,41.85741178707404,-87.61379152536392
Halsted St & 35th St,61,41.830721498,-87.647090077
California Ave & Montrose Ave,61,41.961068,-87.695439
Kedzie Ave & Leland Ave,61,41.96668636205,-87.7080519806
Greenwood Ave & 47th St,60,41.809835,-87.599383
Rockwell St & Eastwood Ave,60,41.96590013976,-87.6936384935
Claremont Ave & Hirsch St,60,41.907781,-87.685854
Troy St & Elston Ave,60,41.94524356848,-87.7066499009
Cannon Dr & Fullerton Ave,60,41.9267559875,-87.6344287848
Racine Ave & 15th St,59,41.861267,-87.656625
Hoyne Ave & Balmoral Ave,59,41.979868174,-87.681924224
Cherry Ave & Blackhawk St,59,41.907221,-87.655618
Lakefront Trail & Bryn Mawr Ave,58,41.98404411519213,-87.65228122472763
Griffin Museum of Science and Industry,58,41.79172820953,-87.583945009
Ashland Ave & Belle Plaine Ave,57,41.956057,-87.668835
University Library (NU),57,42.052939,-87.673447
Damen Ave & Wellington Ave,57,41.93588,-87.67842
Campbell Ave & Augusta Blvd,57,41.899578,-87.689497
Woodlawn Ave & Lake Park Ave,57,41.81409271048,-87.5970051479
Leavitt St/North Ave,56,41.910077,-87.682306
Wallace St & 35th St,54,41.83070705144085,-87.64125533401966
Damen Ave & Wabansia Ave,54,41.9122813,-87.6773211
Marine Dr & Ainslie St,54,41.9716,-87.650154
Kosciuszko Park,54,41.93058537138,-87.7237773635
Albany Ave & Montrose Ave,53,41.961041,-87.705866
Sheridan Rd & Columbia Ave,53,42.004583,-87.661406
Central Park Ave & Elbridge Ave,52,41.93533728263,-87.7168892935
Kimball Ave & Belmont Ave,52,41.93939395344302,-87.71206766366959
Lake Park Ave & 47th St,52,41.809443,-87.591875
Montrose Harbor,51,41.963982,-87.638181
Oakley Ave & Irving Park Rd,51,41.95434085219,-87.6860796243
Winchester Ave & Elston Ave,50,41.92409085038,-87.6764600747
Lake Park Ave & 35th St,50,41.83127423549,-87.6087991946
Wentworth Ave & 33rd St,50,41.83452988563,-87.6318229814
Wood St & Webster Ave,49,41.92105672992757,-87.67279744148254
Emerald Ave & 28th St,49,41.84358,-87.645368
Wabash Ave & Cermak Rd,48,41.852619,-87.626488
Clark St & Schreiber Ave,48,41.999245,-87.671249
Clark St & Elmdale Ave,48,41.99086044812557,-87.66972362995148
Spaulding Ave & Division St,48,41.90270659438,-87.709219571
Elston Ave & Wabansia Ave,47,41.912919,-87.664169
Normal Ave & Archer Ave,47,41.849527,-87.640591
Eastlake Ter & Howard St,47,42.01920250193227,-87.66430288553238
Paulina St & Howard St,46,42.019159,-87.673573
Wentworth Ave & 24th St,46,41.85008369347577,-87.6321405172348
Damen Ave & Melrose Ave,46,41.9406,-87.6785
Loomis St & Archer Ave,46,41.84163253965,-87.6574349533
Clinton St & Polk St,45,41.87146651779,-87.6409491327
State St & 19th St,45,41.856594,-87.627542
Monticello Ave & Irving Park Rd,44,41.95400483876,-87.7191281797
Avers Ave & Belmont Ave,43,41.939408,-87.723574
Dorchester Ave & 49th St,43,41.805772,-87.592464
Western Ave & Granville Ave,42,41.99416136902,-87.689438282
Sheridan Rd & Loyola Ave,41,42.00104377979,-87.6611982433
Halsted St & North Branch St,41,41.89939028549696,-87.64854490756989
Avondale Ave & Irving Park Rd,41,41.953393,-87.732002
Hampden Ct & Diversey Ave,40,41.9325593,-87.6423847
Lincoln Ave & Winona St,40,41.97491129677,-87.6925025594
Prairie Ave & Garfield Blvd,40,41.794853,-87.618691
Leavitt St & Belmont Ave,39,41.939354,-87.683282
Christiana Ave & Lawrence Ave,39,41.96835449363,-87.7118306675
Karlov Ave & Armitage Ave,39,41.91748,-87.728952
Western Ave & Lunt Ave,39,42.0085943972,-87.6904922389
Drake Ave & Addison St,37,41.947326,-87.717582
California Ave & Byron St,37,41.95216219326,-87.698051113
Western Ave & Monroe St,37,41.88142526,-87.6866316818
Cottage Grove Ave & 63rd St,36,41.78053094070882,-87.6059702038765
Campbell Ave & Fullerton Ave,36,41.92463247165,-87.6893070063
Wentworth Ave & 35th St,35,41.830777,-87.632504
Damen Ave & Cullerton St,35,41.854966518753926,-87.67569959163664
W Armitage Ave & N Sheffield Ave,35,41.917805,-87.653449
Western Ave & Congress Pkwy,35,41.87474885079,-87.6864452757
Lakefront Trail & Wilson Ave,35,41.9668559,-87.6430926
California Ave & Fletcher St,35,41.93842879148,-87.698007756
Milwaukee Ave & Fullerton Ave,35,41.924691,-87.70055
Washtenaw Ave & Lawrence Ave,34,41.9687297,-87.6962603
Ogden Ave & Roosevelt Rd,34,41.86650148316,-87.68469707
Western Ave & Howard St,33,42.018901,-87.690048
Buckingham Fountain,33,41.876479864,-87.620327353
Sawyer Ave & Irving Park Rd,33,41.95358617895,-87.7093107999
W Washington Blvd & N Peoria St,33,41.883043,-87.649931
Smith Park,32,41.892048,-87.689397
Fort Dearborn Dr & 31st St*,32,41.83867632897121,-87.60883212089539
Francisco Ave & Foster Ave,31,41.97563272521,-87.7014194389
Racine Ave & 13th St,31,41.865054,-87.656959
Streeter Dr/Grand Ave,31,41.892401,-87.612388
Ping Tom Park (East),31,41.8579886,-87.6319447
Richmond St & Diversey Ave,30,41.93190196886,-87.7011951301
Cottage Grove Ave & 47th St,30,41.809855,-87.606755
Leavitt St & Archer Ave,30,41.82879201994,-87.6806044594
California Ave & Granville Ave,30,41.9941803,-87.6995596
Warren Park West,30,42.001785,-87.688829
Leavitt St & Addison St,29,41.946676612,-87.68332839
California Ave & Lake St,29,41.88445395657,-87.6962981368
Chicago Ave & Washington St,28,42.032562,-87.679101
Knox Ave & Montrose Ave,28,41.960631,-87.745359
Public Rack - Woodlawn Ave & 63rd St N,27,41.780621,-87.596033
Western Ave & 21st St,27,41.854109,-87.685838
2112 W Peterson Ave,27,41.991178,-87.683593
Dodge Ave & Church St,27,42.048308,-87.698224
Evanston Civic Center,27,42.057044,-87.686554
Kedzie Ave & Foster Ave,26,41.975672,-87.709261
Milwaukee Ave & Ainslie St,26,41.96861,-87.76108
Winchester (Ravenswood) Ave & Balmoral Ave,26,41.979762,-87.67753
Troy St & North Ave,26,41.90976930169,-87.7052804871
Kedzie Ave & 48th Pl,25,41.8047581237684,-87.70421936879356
Clark St & Jarvis Ave,25,42.015963,-87.675005
Drake Ave & Montrose Ave,24,41.96115407569,-87.7165690733
Francisco Ave & Chicago Ave,24,41.895745,-87.698653
Washtenaw Ave & Ogden Ave,24,41.86193049278259,-87.69345045089722
Rockwell St & Fletcher St,23,41.938689,-87.692972
Racine Ave & 35th St,22,41.83068856472101,-87.65621066093445
Central Park Ave & Bloomingdale Ave,22,41.914166,-87.716755
St. Louis Ave & Balmoral Ave,22,41.98039423475,-87.7161149615
Keystone Ave & Fullerton Ave,22,41.92459,-87.72785
Kedzie Ave & Bryn Mawr Ave,22,41.98222975911517,-87.70888656377792
Milwaukee Ave & Agatite Ave,22,41.9615,-87.75489
Pulaski Rd & 51st St,21,41.800434,-87.7247496
